N,BubbleSort,BubbleSortOpt,SelectionSort,InsertionSort,QuickSort,QuickSortOpt,MergeSortRec,MergeSortNon
2,0.0017,0.0014,0.0029,0.0034,0.004,0.0019,0.0023,0.0013
4,0.0011,0.001,0.001,0.0006,0.0013,0.0018,0.0018,0.001
8,0.0032,0.003,0.0024,0.0017,0.0025,0.0036,0.0041,0.0016
16,0.0179,0.0107,0.0073,0.0067,0.0065,0.0065,0.0115,0.0031
32,0.0482,0.0453,0.0268,0.0218,0.0171,0.0113,0.0255,0.0059
64,0.1551,0.1801,0.0953,0.0838,0.0363,0.0239,0.0565,0.0119
128,0.5883,0.6938,0.3662,0.328,0.0731,0.0478,0.0554,0.0258
256,0.404,0.4817,0.3084,0.6996,0.0521,0.0961,0.0391,0.0496
512,0.7132,0.6399,0.5645,0.4766,0.0641,0.0994,0.0833,0.1024
1024,1.0903,1.1242,1.0032,0.9071,0.1346,0.2046,0.1778,0.217
2048,3.0569,3.1932,2.3013,0.9092,0.2977,0.4212,0.3847,0.449
4096,10.6475,11.0996,5.8554,3.0022,0.513,0.8463,0.8278,0.921
8192,40.6161,41.7037,22.7454,11.5505,0.7019,1.4352,1.7749,1.5626
16384,153.0476,160.9498,82.8269,46.5225,1.4773,2.0194,2.8547,2.2162
